val;C0;C5;C10;C15;C20;C25;C30;C35;C40;C45;C50;C55;C60;C65;C70;C75;C80;C85;C90;C95;C100;C105;C110;C115;C120;C125;C130;C135;C140;C145;C150;C155;C160;C165;C170;C175;C180
75,00;118,33;130,91;144,94;149,92;158,43;149,77;125,32;138,52;244,07;303,19;357,45;410,62;420,34;352,72;492,28;337,57;255,62;98,02;40,20;24,68;15,24;10,04;6,53;4,43;3,69;3,15;2,48;1,64;1,23;0,90;0,75;0,68;0,60;0,56;0,49;0,42;0,44
76,00;102,23;114,05;129,46;131,21;141,30;130,61;110,11;111,75;188,47;233,01;324,41;370,21;323,14;328,19;388,36;233,68;177,03;65,32;31,12;19,46;10,80;8,92;4,78;3,50;3,01;2,85;2,29;1,47;1,05;0,83;0,68;0,56;0,53;0,49;0,41;0,37;0,36
77,00;92,17;102,00;112,88;116,57;123,11;116,75;95,77;91,78;131,12;180,59;277,00;298,36;256,80;236,19;271,82;143,51;116,67;40,72;24,62;15,14;7,44;7,07;3,19;2,55;2,51;2,59;2,02;1,35;0,98;0,75;0,60;0,49;0,49;0,42;0,38;0,34;0,30
78,00;87,10;97,01;107,20;109,60;112,48;102,47;80,59;80,84;97,49;136,59;216,44;229,54;229,83;129,44;163,03;81,95;74,94;29,99;17,08;11,60;4,61;5,74;2,31;2,18;2,14;2,40;1,76;1,20;0,83;0,68;0,53;0,49;0,44;0,37;0,34;0,30;0,29
79,00;72,98;84,65;95,15;96,92;104,08;90,59;73,58;69,16;76,83;92,35;163,01;190,43;164,47;58,18;96,75;50,32;47,15;19,83;11,22;8,56;3,17;4,04;1,56;1,58;1,88;2,22;1,54;1,05;0,75;0,60;0,49;0,42;0,37;0,35;0,30;0,26;0,29
80,00;69,31;80,56;87,42;87,36;90,56;80,20;65,71;57,47;64,62;60,19;124,57;121,99;105,00;31,95;54,68;32,33;30,64;12,96;7,58;6,73;2,19;2,41;1,25;1,39;1,69;1,99;1,32;0,95;0,68;0,56;0,46;0,41;0,37;0,30;0,30;0,23;0,22
81,00;63,29;75,74;80,68;84,77;80,33;68,61;52,67;48,94;47,06;41,30;79,19;86,83;46,76;23,03;31,47;20,63;19,70;9,09;6,08;4,59;1,89;1,43;1,10;1,20;1,51;1,80;1,16;0,83;0,60;0,49;0,46;0,34;0,30;0,26;0,23;0,23;0,22
82,00;54,91;68,49;72,13;72,93;72,21;57,70;44,67;39,10;31,95;29,38;57,49;59,37;22,24;17,16;21,40;14,81;12,92;6,50;5,33;3,34;1,28;1,17;0,98;1,13;1,32;1,58;1,09;0,72;0,60;0,46;0,37;0,34;0,30;0,23;0,23;0,19;0,22
83,00;41,23;57,41;62,27;58,15;62,43;43,57;37,76;32,09;26,07;21,73;33,29;34,88;17,77;13,74;16,69;11,02;8,86;5,19;4,84;2,67;1,14;1,05;0,95;1,02;1,16;1,35;0,93;0,68;0,53;0,42;0,37;0,30;0,23;0,19;0,19;0,16;0,14
84,00;24,48;35,53;40,80;41,91;36,28;28,67;27,70;21,59;19,45;16,66;16,01;20,93;16,47;11,36;11,95;8,97;7,27;4,24;3,83;2,29;1,02;0,98;0,49;0,56;1,05;1,09;0,83;0,60;0,46;0,42;0,34;0,30;0,23;0,23;0,19;0,16;0,14
