Nome,Tipo,Coordinate,Distance_from_POI
Nuova Farmacia Sagnino,pharmacy,"(45.8322225, 9.0445329)",3.7971035720357946
Trattoria Pizzeria Ristorante In Borgovico,restaurant,"(45.8112679, 9.0710413)",0.9842578876274994
Poste Italiane,post_office,"(45.8303569, 9.0382523)",4.089897972794993
Farmacia Marelli,pharmacy,"(45.7986211, 9.0908947)",1.566522262648692
Lanzetti,pharmacy,"(45.8050457, 9.0935981)",1.0744878733918108
San Martino,pharmacy,"(45.8059995, 9.0976951)",1.264628601504528
Farmacia Cetti,pharmacy,"(45.8050347, 9.085833)",0.7683205659158403
Sala del Regno,place_of_worship,"(45.7965421, 9.0916186)",1.8026884380440742
Sala del Regno,place_of_worship,"(45.8073208, 9.0921744)",0.8255108834384273
Locanda Barbarossa,restaurant,"(45.8089565, 9.084292)",0.31757495489742565
Credito Valtellinese,atm,"(45.832121, 9.0452753)",3.744216079586669
Mystic Burger,restaurant,"(45.8077039, 9.0829708)",0.4566219685972196
Como 9,post_office,"(45.8379179, 9.0423218)",4.332338766052434
Caffè Ristorante Fontana,restaurant,"(45.8121629, 9.0803022)",0.2661764944153208
Hayashi Sushi Bar,restaurant,"(45.8305997, 9.0377178)",4.1393714130557475
Baita Monte Goj,restaurant,"(45.7869146, 9.0990043)",3.0096580598933858
Baita Pianvalle,restaurant,"(45.8003973, 9.068036)",1.7551481832708478
Parcheggio Villa Eros,parking,"(45.8190016, 9.0546399)",2.3956519056178003
Parcheggio della Parrocchia,parking,"(45.8246399, 9.0495183)",3.015362888343167
Quarto Ponte,parking,"(45.805813, 9.079398)",0.7423424791599172
Parcheggio via IV Novembre,parking,"(45.7806681, 9.1001936)",3.6887586725719865
A.S.L. Como - Servizio Veterinario,veterinary,"(45.7790388, 9.0707571)",3.77551174256292
Gama parkegio camions,parking,"(45.7862499, 9.0595955)",3.399997350578781
Orsenigo,pharmacy,"(45.8088603, 9.0838139)",0.3248804418229988
Como 4,post_office,"(45.8096027, 9.0852143)",0.26986538654889036
UBI Banca Popolare di Bergamo,bank,"(45.8080826, 9.0852811)",0.42951178130755735
Chiesa di Sant'Eusebio,place_of_worship,"(45.8100718, 9.0790586)",0.4066080808109298
Banca Intesa Sanpaolo,bank,"(45.8056874, 9.0853347)",0.6894387507717996
Cavour,bicycle_rental,"(45.8126292, 9.0808156)",0.24196261259820923
Le Colonne,restaurant,"(45.8107149, 9.0803649)",0.2838715917394707
La vita è bella,restaurant,"(45.8159051, 9.0833331)",0.45909840155020665
Bar Pasticceria Monti,cafe,"(45.8135316, 9.0813189)",0.26756497123465045
Ristorante pizzeria al LungoLago,restaurant,"(45.81542, 9.0833493)",0.4052054308011023
Monti Gelateria,restaurant,"(45.8136087, 9.0812945)",0.27513309314318984
Bar Dante,bar,"(45.8086093, 9.0895275)",0.5750653533682238
Centro Lago,parking,"(45.8116362, 9.0759623)",0.6003260843854988
Bar La Ligera,bar,"(45.8119666, 9.0724194)",0.8757202149996299
Banca Popolare di Bergamo,bank,"(45.8103556, 9.0764973)",0.580591290618153
Chiesa del Gesù,place_of_worship,"(45.8100444, 9.0820082)",0.23289710582459175
Bar Calipso,bar,"(45.8018193, 9.0903207)",1.2216159888871334
Galleria della Fortuna,gambling,"(45.8104427, 9.0873614)",0.3223215449437349
Mama Ida,bar,"(45.8022117, 9.0875493)",1.1053352015975624
Ristorante Cinese Pechino,restaurant,"(45.8022268, 9.0874191)",1.101007545589801
UniCredit Bank,bank,"(45.8019783, 9.0878238)",1.1361812940199618
UniCredit Bank,atm,"(45.8021107, 9.0877551)",1.120555695343952
Il Cortiletto,bar,"(45.8098102, 9.0830473)",0.22464627728354175
Grom,ice_cream,"(45.8101639, 9.082988)",0.18777122328765988
Il Solito Posto,restaurant,"(45.8096741, 9.0818616)",0.2737299599746847
McCafé,cafe,"(45.8125881, 9.0818802)",0.1663380602825084
Pan Pero Rosso,bar,"(45.8125819, 9.0711448)",0.9785915691246418
Il Baretto,cafe,"(45.8125754, 9.0707381)",1.0100123283363174
Cafeteria,cafe,"(45.8126747, 9.0750975)",0.6746576152792546
Pizza Casalin,restaurant,"(45.8127597, 9.06954)",1.1046341344093145
Chiesa Evangelica Valdese,place_of_worship,"(45.8106147, 9.0837069)",0.12973722546076147
Al Baci Lounge,bar,"(45.8139088, 9.0847466)",0.2504404775784085
Gelateria,restaurant,"(45.8136478, 9.0848274)",0.22566234923099365
Bar Duomo,cafe,"(45.8124405, 9.0853669)",0.14995494962796518
Bar Diaz,cafe,"(45.8078041, 9.083035)",0.44497664168915213
Caffè Mazzini,cafe,"(45.8107472, 9.080398)",0.2800428222460098
Al N°5,restaurant,"(45.8025316, 9.0906456)",1.1618848368849353
Tigella Bella,fast_food,"(45.8085419, 9.0830656)",0.36329584700055984
La Bottega del Gelato,ice_cream,"(45.8045401, 9.0887768)",0.8970107147670173
Via XX,cafe,"(45.8042876, 9.0876707)",0.888765635992342
In Centro,restaurant,"(45.8073878, 9.0849176)",0.4977227572970928
Autoscuola Geno,driving_school,"(45.8020433, 9.0854439)",1.0910329392055573
BPM,bank,"(45.8085143, 9.0763774)",0.674064793249661
Caffè Chicco d'oro shop,cafe,"(45.8078376, 9.0775447)",0.6479518392833988
El Sombrero,restaurant,"(45.8075898, 9.0770948)",0.6923463245464276
Market Place,restaurant,"(45.8077349, 9.0773934)",0.6643352979361089
Village Sushi,restaurant,"(45.8080787, 9.0767039)",0.6809541582141048
Il Pomodorino,restaurant,"(45.8099256, 9.0802115)",0.33967628373261805
Le Soste al mare,restaurant,"(45.8094086, 9.0813989)",0.3179667101782531
La Colombetta,restaurant,"(45.8097603, 9.0808514)",0.314531954156025
Numeronove,restaurant,"(45.8110155, 9.080221)",0.2822575519377721
Vintage Jazz,restaurant,"(45.8110618, 9.0800418)",0.2941247878247742
Peach Pit,fast_food,"(45.8096227, 9.081172)",0.3093354807553106
Osteria Casa 28,restaurant,"(45.8104885, 9.0813757)",0.22984917807416982
Trattoria del Gesümìn,restaurant,"(45.8103884, 9.0811778)",0.2488118802691619
Area Camper STOP Parcheggio Ippocastano,water_point,"(45.8029224, 9.0916415)",1.1628966481727958
Area Camper STOP Tavernola,water_point,"(45.8352603, 9.0614613)",3.129201097157144
Bistrot Muralto,restaurant,"(45.8115062, 9.0802514)",0.26848869899054745
Scuola Guida Annie Bonnie,driving_school,"(45.8079543, 9.0779935)",0.6136487143495846
Le Catene,restaurant,"(45.8082931, 9.0782215)",0.5749615345997818
La Forchetta d'Oro,restaurant,"(45.8081062, 9.0778699)",0.6091584301473167
Vago Carlo,bar,"(45.8080462, 9.0776564)",0.625971241615903
Banca Credem,bank,"(45.8080574, 9.0794807)",0.5273173402908112
Banca Fideuram,bank,"(45.8092073, 9.0783338)",0.504742925211213
Piadineria,fast_food,"(45.8084621, 9.0788421)",0.5270069804210462
BNL,bank,"(45.8319404, 9.0366904)",4.284438376645297
Carige,bank,"(45.8316745, 9.036424)",4.286787361136964
Granpizza,fast_food,"(45.8314952, 9.035616)",4.330590663981063
Intesa Sanpaolo,bank,"(45.8316559, 9.0352806)",4.362105908394648
UniCredit Bank,bank,"(45.8314695, 9.0356718)",4.325405814219445
Ristorante Rino,restaurant,"(45.8114718, 9.0808083)",0.22609120299984478
Osteria del Gallo,restaurant,"(45.8111299, 9.0808338)",0.2330210742631648
Com'è,restaurant,"(45.8092296, 9.0805527)",0.37373326948286517
I Gradoni,restaurant,"(45.8059057, 9.0979103)",1.284334093200501
Bar Tabacchi,bar,"(45.8094684, 9.0811277)",0.32491556410268474
Comobar Internet Cafè,bar,"(45.8097036, 9.0798529)",0.3768157209477762
Geca,pub,"(45.8001158, 9.0929275)",1.4824591277940755
Deutsche Bank,bank,"(45.811971, 9.0699349)",1.068794938092192
Antichi Sapori,restaurant,"(45.8053184, 9.0993422)",1.413370064483732
UBI Banca,bank,"(45.8011981, 9.0904579)",1.2888533380652267
Il Birrivico,pub,"(45.8109307, 9.0724964)",0.8746337416335664
IP,fuel,"(45.8041807, 9.0813549)",0.864013758455228
IP,fuel,"(45.7980643, 9.1126725)",2.720814553426809
IP,fuel,"(45.7944957, 9.1051131)",2.542969742019496
Esso,fuel,"(45.7850734, 9.0862339)",2.975188602995207
Q8,fuel,"(45.7971041, 9.0922484)",1.762035383852359
BNL,bank,"(45.8006252, 9.0915135)",1.3813653195723492
Papo's,restaurant,"(45.7870885, 9.0521187)",3.681640975383314
Bar Quarcino,cafe,"(45.8380183, 9.0426279)",4.322240648625905
Pizza Garage Express,restaurant,"(45.8070309, 9.0792257)",0.6315733501806712
Cinelandia,cinema,"(45.7905606, 9.0819709)",2.3624386287351493
Pepe Nero,restaurant,"(45.8112558, 9.0818581)",0.15343026789614908
Chiesa di Gesù Cristo dei Santi degli Ultimi Giorni,place_of_worship,"(45.8229334, 9.0513276)",2.8034816226027783
"Tira, Mola e Meseda",restaurant,"(45.7960804, 9.0919557)",1.85988861774096
Il Carrettiere,restaurant,"(45.8160125, 9.0841493)",0.4716225027505203
El Merendero,restaurant,"(45.8154976, 9.0839652)",0.4135802454958671
Osteria La Tana Dei Pescatori,restaurant,"(45.8099992, 9.0795974)",0.37431222202020875
Gelateria Lariana,ice_cream,"(45.8079841, 9.0840341)",0.4229894783369642
Napule è,restaurant,"(45.815672, 9.0834917)",0.4326389707186485
Pizzeria da Yuri,restaurant,"(45.7969903, 9.0588817)",2.5337535258330814
Quaranta4,bar,"(45.7968734, 9.058832)",2.545136185955718
Parcheggio Serre del Grumello,parking,"(45.8217761, 9.0645137)",1.8583692840267356
Parcheggio Crotto del Tiglio,parking,"(45.8234011, 9.0656734)",1.9044521571927566
C'era una volta,restaurant,"(45.801535, 9.0927919)",1.3410622610049154
Pane e Tulipani,restaurant,"(45.809825, 9.0821034)",0.249764323955093
Polizia Locale Como,police,"(45.8082385, 9.0760012)",0.7152871913742981
Natta cafe,cafe,"(45.808655, 9.0831134)",0.3503501950930445
15 - Caserme,bicycle_rental,"(45.7970614, 9.0925518)",1.7754548847196756
Da Benito,restaurant,"(45.8052089, 9.0986824)",1.37587556732714
Clinica Veterinaria San Martino,veterinary,"(45.804205, 9.0955163)",1.2470940777571626
BCC - Cassa​ Rurale ed Artigiana di Cantù,bank,"(45.8125425, 9.0828596)",0.10604431532604938
Blanco cafè - Piadineria,bar,"(45.804779, 9.081979)",0.7895392433303156
UBI Banca,bank,"(45.8056529, 9.084411)",0.6835614065463765
La Parigina,ice_cream,"(45.812529, 9.0700639)",1.06180880628806
Europcar,car_rental,"(45.8084705, 9.0756576)",0.7242896218287082
Riva Cafè,restaurant,"(45.812619, 9.0796643)",0.32592927083608886
Scalo di Como,ferry_terminal,"(45.8149897, 9.0825124)",0.36797512663232196
Frate,restaurant,"(45.8258559, 9.0496941)",3.0699310854349338
Ok Pizza,fast_food,"(45.8379086, 9.042557)",4.3181019407119265
Il Birratrovo,pub,"(45.8078582, 9.0855306)",0.4591362149489969
Osteria L'Angolo del Silenzio,restaurant,"(45.8099308, 9.0869108)",0.32444788258770973
La Cucina di Elsa,restaurant,"(45.8113357, 9.0796423)",0.3179686017498583
Lighthouse,bar,"(45.8107028, 9.078134)",0.4476784753365603
Farmacia Camerlata,pharmacy,"(45.7906828, 9.0852486)",2.348259057717606
Paradise,restaurant,"(45.8049199, 9.0850365)",0.7699078552593881
Bar Gelateria Tolini,bar,"(45.8123873, 9.0821507)",0.13680606795235506
La Cornucopia,restaurant,"(45.8082178, 9.0742155)",0.8357469269712119
Mitico,cafe,"(45.8337635, 9.0443919)",3.910516429400614
Beija Flor,restaurant,"(45.8102836, 9.0866811)",0.28640734696189973
BNL,bank,"(45.8131364, 9.0817363)",0.2134584624921527
Bar Touring Caffè,cafe,"(45.8132658, 9.0815767)",0.2324007619248271
Pirellino,bicycle_rental,"(45.8068246, 9.0808426)",0.5935768433709783
Como Nord Lago,bicycle_rental,"(45.8146451, 9.0833196)",0.31949736964835335
Cacciatori delle Alpi,bicycle_rental,"(45.8102631, 9.076928)",0.55152244896093
Chiesa di San Provino,place_of_worship,"(45.8129825, 9.0839)",0.13451145320984392
Bar San Giuliano,bar,"(45.8123342, 9.0892531)",0.43725691835501423
La Nostra Famiglia,social_facility,"(45.8119495, 9.0911966)",0.5842834562377093
Old America,restaurant,"(45.7803266, 9.068091)",3.7003674921006504
V6 Pub & Grill,restaurant,"(45.7804967, 9.0682304)",3.6789557812295484
Antica trattoria della pila,restaurant,"(45.804573, 9.1153371)",2.587653239460176
Megabar,restaurant,"(45.8329132, 9.0392028)",4.179059335942217
Er Più,restaurant,"(45.7955504, 9.0920301)",1.9172223922423381
Ex Sanatorio G. B. Grassi,hospital,"(45.7919754, 9.0847412)",2.2029705579698122
Monte dei Paschi di Siena,bank,"(45.7900825, 9.083976)",2.4119325509719185
Ubi Banca,bank,"(45.7893961, 9.0806849)",2.499010513078027
Pinocchio,cafe,"(45.7871461, 9.0774126)",2.7812537290785895
Bar Carrera,bar,"(45.8257053, 9.0499517)",3.0441820415320406
Bar Aprica,bar,"(45.8216181, 9.0570229)",2.342742168303782
Highlander,cafe,"(45.8256331, 9.0500817)",3.031404276124067
Bar Papilogia,cafe,"(45.8253303, 9.0505484)",2.98309225130307
I Sushi,restaurant,"(45.8096848, 9.0751151)",0.7055781941810155
Bar Italia,cafe,"(45.810016, 9.0753331)",0.6780494133205298
Vittoria,cafe,"(45.8059964, 9.0846493)",0.647407355196894
Como Antica,bar,"(45.8077884, 9.0883038)",0.5709683163327863
Bar River,bar,"(45.8120466, 9.0739565)",0.7565796641894655
Caffè Ambrosiano,cafe,"(45.8125849, 9.0811512)",0.21609182143228842
Caffè 7 Bello,cafe,"(45.8178382, 9.0639944)",1.6717515715846825
ZaZà,restaurant,"(45.8145856, 9.0843484)",0.3158925104741512
Borgo Sant’Agostino,restaurant,"(45.8175162, 9.0829688)",0.6397752631711271
Bar dell'Ospedale,bar,"(45.7909617, 9.089754)",2.3617397100856126
I Tre Santi,ice_cream,"(45.8160684, 9.0829975)",0.47941298093575874
Al Numero 1,fast_food,"(45.8267625, 9.0480169)",3.233475299887635
Cremeria,cafe,"(45.8270614, 9.0481034)",3.2449712666907953
Hosteria La Scogliera,restaurant,"(45.8313642, 9.0359328)",4.30199206532935
La Caveja,fast_food,"(45.8314524, 9.0357271)",4.320737853729182
Piadineria l'Innominato,restaurant,"(45.8079664, 9.0850996)",0.43813502015568423
Caffè Carducci,cafe,"(45.8079881, 9.085414)",0.44260677049671654
Farmacia Leonardi,pharmacy,"(45.8252771, 9.0500897)",3.010969847093647
Granmercato charging station,charging_station,"(45.8325496, 9.0704347)",2.5274869258801025
I Tre Mori,restaurant,"(45.7974977, 9.0953785)",1.8295248273384357
Studio Odontoiatrico Dott. Giovanni Miticocchio,dentist,"(45.8002788, 9.0932825)",1.480354780948211
McDonald's,fast_food,"(45.8125575, 9.0819214)",0.16181195417374653
La Farcia,fast_food,"(45.8114888, 9.0841432)",0.04836762586197838
Sottosopra,cafe,"(45.8127837, 9.0854001)",0.17380684354364714
Bar Argentino,bar,"(45.8120413, 9.0833066)",0.04108858375694526
L'Ancora,restaurant,"(45.831455, 9.0709868)",2.398925084098513
Vecchia Tavernola,restaurant,"(45.8314242, 9.0717494)",2.3720139218516145
L'antico borgo,bar,"(45.8106643, 9.0729685)",0.8420219857634764
"Chiesa Cristiana evangelica ""Emmanuel""",place_of_worship,"(45.8108165, 9.0726768)",0.8621838520209874
Bar Il Caffè,cafe,"(45.8321802, 9.0459649)",3.70565898098079
Intesa Sanpaolo,bank,"(45.8127557, 9.0804377)",0.2744951960298437
UniCredit Bank,bank,"(45.8124212, 9.0809398)",0.22475731495342938
Cervo,restaurant,"(45.8169278, 9.0829451)",0.5748315989088768
Antica Darsena,restaurant,"(45.8143228, 9.0828192)",0.290295561204282
Il vecchio borgo,restaurant,"(45.8146667, 9.08379)",0.3207537533042908
Bar Lario,bar,"(45.8155681, 9.0832147)",0.42240682222662623
Fontana d'oro,restaurant,"(45.8166042, 9.0829527)",0.5389931515225825
India fast food,restaurant,"(45.8062858, 9.087835)",0.6908776107161712
Pizzeria Eco del mare,restaurant,"(45.8055057, 9.0885181)",0.7923727719919608
Il caffè dei viaggiatori,cafe,"(45.8078402, 9.0851143)",0.4520053800794766
Mariett,bar,"(45.8100759, 9.0845521)",0.20128057563315072
Monte dei Paschi di Siena,bank,"(45.8123237, 9.079558)",0.32623533231716206
Il Pacchero 2.0,restaurant,"(45.8013087, 9.0923439)",1.3447208057751543
I Monelli,restaurant,"(45.7965441, 9.0609607)",2.447123400817675
Lago Food & Co,restaurant,"(45.8158384, 9.0830965)",0.45317761101471427
Luca’s Bar,bar,"(45.8147289, 9.0843423)",0.33154180977442765
Hemingway,bar,"(45.8119555, 9.0803266)",0.2616021928226565
Farmacia Sant'Anna,pharmacy,"(45.7912856, 9.0752113)",2.3713942626157185
Ermitage,restaurant,"(45.8047704, 9.0997653)",1.4730903032843081
Cornobobo wine bar,bar,"(45.8148569, 9.0847242)",0.3512336978015914
Lasagne bar,bar,"(45.8158156, 9.0836052)",0.4483847535295888
Dodgy Kebab Shop,fast_food,"(45.8152974, 9.0842255)",0.39301421898238004
Bar Umberto I,bar,"(45.8152158, 9.0836559)",0.38168329967727144
Cassetta postale Como 10,post_box,"(45.8303722, 9.0384452)",4.077825436003794
Piazza Roma,restaurant,"(45.8129596, 9.0836238)",0.13098726149602863
Ristorante Sociale,restaurant,"(45.8126219, 9.0835617)",0.0938473898710311
Il Comacino,restaurant,"(45.8092295, 9.0827978)",0.29191301696013827
Pizza Garage,restaurant,"(45.7897063, 9.0830591)",2.454118252605042
