Nome,Tipo,Coordinate
UniCredit Bank,bank,"(45.8019783, 9.0878238)"
UniCredit Bank,atm,"(45.8021107, 9.0877551)"
Il Cortiletto,bar,"(45.8098102, 9.0830473)"
Grom,ice_cream,"(45.8101639, 9.082988)"
Il Solito Posto,restaurant,"(45.8096741, 9.0818616)"
McCafé,cafe,"(45.8125881, 9.0818802)"
Pan Pero Rosso,bar,"(45.8125819, 9.0711448)"
Il Baretto,cafe,"(45.8125754, 9.0707381)"
Cafeteria,cafe,"(45.8126747, 9.0750975)"
Pizza Casalin,restaurant,"(45.8127597, 9.06954)"
Chiesa Evangelica Valdese,place_of_worship,"(45.8106147, 9.0837069)"
Al Baci Lounge,bar,"(45.8139088, 9.0847466)"
Gelateria,restaurant,"(45.8136478, 9.0848274)"
Bar Duomo,cafe,"(45.8124405, 9.0853669)"
Bar Diaz,cafe,"(45.8078041, 9.083035)"
Caffè Mazzini,cafe,"(45.8107472, 9.080398)"
Al N°5,restaurant,"(45.8025316, 9.0906456)"
Tigella Bella,fast_food,"(45.8085419, 9.0830656)"
La Bottega del Gelato,ice_cream,"(45.8045401, 9.0887768)"
Via XX,cafe,"(45.8042876, 9.0876707)"
In Centro,restaurant,"(45.8073878, 9.0849176)"
Autoscuola Geno,driving_school,"(45.8020433, 9.0854439)"
BPM,bank,"(45.8085143, 9.0763774)"
Caffè Chicco d'oro shop,cafe,"(45.8078376, 9.0775447)"
El Sombrero,restaurant,"(45.8075898, 9.0770948)"
Market Place,restaurant,"(45.8077349, 9.0773934)"
Village Sushi,restaurant,"(45.8080787, 9.0767039)"
Il Pomodorino,restaurant,"(45.8099256, 9.0802115)"
Le Soste al mare,restaurant,"(45.8094086, 9.0813989)"
La Colombetta,restaurant,"(45.8097603, 9.0808514)"
Numeronove,restaurant,"(45.8110155, 9.080221)"
Vintage Jazz,restaurant,"(45.8110618, 9.0800418)"
Peach Pit,fast_food,"(45.8096227, 9.081172)"
Osteria Casa 28,restaurant,"(45.8104885, 9.0813757)"
Trattoria del Gesümìn,restaurant,"(45.8103884, 9.0811778)"
Area Camper STOP Parcheggio Ippocastano,water_point,"(45.8029224, 9.0916415)"
Area Camper STOP Tavernola,water_point,"(45.8352603, 9.0614613)"
Bistrot Muralto,restaurant,"(45.8115062, 9.0802514)"
Scuola Guida Annie Bonnie,driving_school,"(45.8079543, 9.0779935)"
Le Catene,restaurant,"(45.8082931, 9.0782215)"
La Forchetta d'Oro,restaurant,"(45.8081062, 9.0778699)"
Vago Carlo,bar,"(45.8080462, 9.0776564)"
Banca Credem,bank,"(45.8080574, 9.0794807)"
Banca Fideuram,bank,"(45.8092073, 9.0783338)"
Piadineria,fast_food,"(45.8084621, 9.0788421)"
BNL,bank,"(45.8319404, 9.0366904)"
Carige,bank,"(45.8316745, 9.036424)"
Granpizza,fast_food,"(45.8314952, 9.035616)"
Intesa Sanpaolo,bank,"(45.8316559, 9.0352806)"
UniCredit Bank,bank,"(45.8314695, 9.0356718)"
Ristorante Rino,restaurant,"(45.8114718, 9.0808083)"
Osteria del Gallo,restaurant,"(45.8111299, 9.0808338)"
Com'è,restaurant,"(45.8092296, 9.0805527)"
I Gradoni,restaurant,"(45.8059057, 9.0979103)"
Bar Tabacchi,bar,"(45.8094684, 9.0811277)"
Comobar Internet Cafè,bar,"(45.8097036, 9.0798529)"
Geca,pub,"(45.8001158, 9.0929275)"
Deutsche Bank,bank,"(45.811971, 9.0699349)"
Antichi Sapori,restaurant,"(45.8053184, 9.0993422)"
UBI Banca,bank,"(45.8011981, 9.0904579)"
Il Birrivico,pub,"(45.8109307, 9.0724964)"
IP,fuel,"(45.8041807, 9.0813549)"
IP,fuel,"(45.7980643, 9.1126725)"
IP,fuel,"(45.7944957, 9.1051131)"
Esso,fuel,"(45.7850734, 9.0862339)"
Q8,fuel,"(45.7971041, 9.0922484)"
BNL,bank,"(45.8006252, 9.0915135)"
Papo's,restaurant,"(45.7870885, 9.0521187)"
Bar Quarcino,cafe,"(45.8380183, 9.0426279)"
Pizza Garage Express,restaurant,"(45.8070309, 9.0792257)"
Cinelandia,cinema,"(45.7905606, 9.0819709)"
Pepe Nero,restaurant,"(45.8112558, 9.0818581)"
Chiesa di Gesù Cristo dei Santi degli Ultimi Giorni,place_of_worship,"(45.8229334, 9.0513276)"
"Tira, Mola e Meseda",restaurant,"(45.7960804, 9.0919557)"
Il Carrettiere,restaurant,"(45.8160125, 9.0841493)"
El Merendero,restaurant,"(45.8154976, 9.0839652)"
Osteria La Tana Dei Pescatori,restaurant,"(45.8099992, 9.0795974)"
Gelateria Lariana,ice_cream,"(45.8079841, 9.0840341)"
Napule è,restaurant,"(45.815672, 9.0834917)"
Pizzeria da Yuri,restaurant,"(45.7969903, 9.0588817)"
Quaranta4,bar,"(45.7968734, 9.058832)"
Parcheggio Serre del Grumello,parking,"(45.8217761, 9.0645137)"
